node_id,lat,lon,alt
ESCAT1700000017490A,42.37805,3.1530554,28.320312
mir2009,41.486298,2.1874998,36.132812
saeas1,39.361294,-0.5440269,169.92188
07MP,42.34444,1.9583329,1405.2734
mondra,41.82096,2.5212984,370.1172
45MP,42.52111,1.306944,1679.6875
meteolleida,41.623417,0.6138579,154.29688
ESCAT0800000008012A,41.400547,2.1575,77.63672
ESCAT0800000008782A,41.48472,1.8361108,285.15625
09MP,42.227776,2.4544435,399.41406
ESCAT2500000025177A,41.353607,0.66833293,527.83203
santgervasi,41.542984,2.2035968,65.42969
31MP,42.81805,0.805556,1015.1367
losarenales,39.636337,-0.29685497,47.851562
navarcles,41.751842,1.9037789,269.04297
labclimaUA,38.39639,-0.52555597,108.88672
pmontanyanaafmet,42.10025,0.6994769,580.5664
24MP,42.680557,1.2333331,1377.4414
ESPVA4600000046870A,38.82611,-0.596944,339.35547
ESPVA0300000003450A,38.72472,-0.66555595,729.0039
ESCAT1700000017869C,42.340557,2.2744439,1333.4961
elcesar,39.635372,-0.297782,13.183594
montsua,41.69714,0.9822488,274.90234
ares01,40.50079,-0.103392996,970.7031
ESCAT0800000008458A,41.680836,2.4205558,282.71484
iesdesanful,38.11715,-0.71848494,7.8125
ESCAT1700000017130C,42.10278,3.110278,35.15625
ESARA2200000022520B,41.52611,0.346667,109.86328
sesuecynp,42.551083,0.47218102,1049.8047
ESIBA0700000107620C,39.48778,2.891944,133.78906
meteoampolla,40.799538,0.70004493,4.8828125
ESCAT0800000008191A,41.487778,2.037222,143.55469
acifalcoi,38.69952,-0.500573,790.52734
ESPVA4600000046650D,38.964718,-0.58583295,165.03906
ESCAT4300000043206A,41.140278,1.1333328,79.58984
cescmeteo,41.637325,1.854904,178.22266
ESCAT0800000008015A,41.383324,2.1536107,39.55078
23MP,42.481945,1.059444,1511.7188
inca1,39.71381,2.9333048,120.11719
ESCAT1700000017800C,42.176105,2.488611,442.8711
pinetacynp,42.646915,0.15534799,1220.2148
martret,42.681446,2.7850244,73.24219
37MP,42.655552,0.9277778,1740.7227
ESCAT0800000008912A,41.445827,2.2475002,30.273438
ESIBA0700000207849A,39.02722,1.5663888,88.86719
ESPVA0300000003829A,38.766663,-0.41666695,365.23438
34MP,42.447224,1.2249999,1322.2656
42MP,42.55805,0.753333,1309.5703
informaticaj,39.746326,3.4316707,9.765625
ESCAT0800000008500A,41.958332,2.283333,499.51172
ESCAT4300000043364F,41.31833,0.9777779,915.03906
pladevent,41.2005,1.297085,49.316406
fogueres,41.7829,2.5242808,620.1172
bunyola1,39.65241,2.6874297,240.23438
ESCAT0800000008551B,41.84972,2.226389,606.4453
ESIBA0700000107250A,39.575,3.084167,129.88281
ESCAT0800000008552C,41.867775,2.2852776,625.0
ESCAT0800000008330A,41.495,2.3624997,40.039062
ESCAT4300000043362A,41.26055,0.938611,753.41797
ESCAT4300000043364A,41.28722,1.0975,878.41797
ESPVA4600000046400A,39.162495,-0.24472195,8.300781
ESIBA0700000107141B,39.631664,2.7277777,102.05078
ramgargon,41.72589,2.2744067,370.1172
ESIBA0700000107639A,39.363052,2.9494438,12.6953125
ESCAT0800000008014B,41.36944,2.1472216,55.17578
YA,42.440125,1.93482,1212.4023
fisicaaplicada,41.737335,1.8286601,237.30469
ESCAT0800000008785A,41.520832,1.7088888,288.57422
49MP,42.36028,1.4633329,689.4531
50MP,42.388058,0.73805594,842.28516
51MP,42.344437,1.9416668,1405.2734
52MP,42.137497,2.3586109,1277.3438
53MP,42.245,2.4516668,535.15625
55MP,42.621384,1.2502779,1071.7773
56MP,42.31527,2.3641665,954.10156
54MP,42.49639,1.2125,802.7344
calvia5,39.52451,2.509111,30.273438
04MP,42.811108,1.8916667,1160.1562
ESCAT1700000017474A,42.18805,3.0499995,9.765625
